DEPT,GR,RHOB,NPHI,RD
570.5,77.9985,2.7973,0.3962,0.3093
571.0,83.7958,2.7049,0.3782,2.1166
571.5,89.2062,2.4977,0.3658,7.1039
572.0,93.0407,2.4756,0.3466,7.2761
572.5,93.3994,2.4729,0.3551,6.1702
573.0,94.6009,2.4707,0.3638,5.5506
573.5,95.1963,2.4698,0.3656,5.3625
574.0,95.7927,2.4683,0.3656,5.7436
574.5,96.9968,2.4698,0.3653,5.9021
575.0,98.2602,2.4758,0.3631,6.1493
575.5,99.407,2.4803,0.3569,6.2415
576.0,100.2032,2.482,0.347,6.3165
576.5,100.5945,2.4836,0.3415,6.3136
577.0,100.5793,2.4853,0.3371,6.2245
577.5,99.952,2.4884,0.3286,6.1366
578.0,98.1084,2.4892,0.3124,6.1336
578.5,91.9964,2.4877,0.3162,6.1312
579.0,90.7625,2.4801,0.341,6.1288
579.5,92.1636,2.4558,0.3664,6.0413
580.0,93.3415,2.4573,0.3644,5.7948
580.5,94.6179,2.4618,0.3583,5.713
581.0,94.9695,2.46,0.3521,5.7106
581.5,94.9516,2.4587,0.3542,5.7453
582.0,94.7886,2.46,0.367,5.7852
582.5,94.9238,2.4712,0.3739,5.8629
583.0,95.5183,2.4965,0.3715,5.9421
583.5,96.7886,2.5192,0.3535,6.1061
584.0,98.065,2.5313,0.3359,6.1885
584.5,99.3414,2.5298,0.331,6.2847
585.0,101.7927,2.5198,0.3325,6.4452
585.5,105.1952,2.5061,0.3375,6.4757
586.0,107.6198,2.5054,0.3411,6.6199
586.5,108.2152,2.5149,0.3418,6.7086
587.0,108.811,2.5219,0.3365,6.614
587.5,103.0393,2.5129,0.3343,6.5208
588.0,96.3741,2.5114,0.3406,6.4288
588.5,95.3506,2.5113,0.3581,6.0721
589.0,95.3354,2.5113,0.3666,5.7256
589.5,97.1839,2.5011,0.3757,5.3388
590.0,101.3999,2.4768,0.3885,4.7417
590.5,107.4831,2.4635,0.4151,3.5437
591.0,110.5174,2.4475,0.4329,2.8003
591.5,110.4997,2.4307,0.4279,2.5064
592.0,105.3903,2.4212,0.4175,3.3024
592.5,101.7906,2.449,0.4022,4.4116
593.0,101.0934,2.4853,0.3874,5.4531
593.5,100.686,2.4807,0.3749,6.1884
594.0,98.8385,2.4653,0.3609,6.8461
594.5,96.3851,2.4619,0.36,7.3671
595.0,91.4927,2.4696,0.3688,7.819
595.5,90.2588,2.4836,0.3726,8.3052
596.0,90.2846,2.4798,0.3728,8.5344
596.5,92.2837,2.479,0.3665,8.6497
597.0,95.4614,2.4775,0.3532,8.5277
597.5,97.1626,2.4759,0.3447,8.4073
598.0,98.1098,2.4744,0.3419,8.38
598.5,101.1408,2.4743,0.339,8.2852
599.0,101.7378,2.4776,0.3346,8.2817
599.5,99.2828,2.4804,0.3304,8.2783
600.0,100.5042,2.4809,0.3316,8.3899
600.5,102.3028,2.4833,0.3401,8.3861
601.0,100.3049,2.4848,0.3445,8.4994
601.5,97.5539,2.4787,0.3389,8.6142
602.0,96.1585,2.4681,0.3222,8.7441
602.5,99.799,2.4575,0.3043,8.8484
603.0,103.4431,2.4559,0.299,8.6824
603.5,102.2092,2.4687,0.3011,8.482
604.0,94.8778,2.4813,0.3074,8.3622
604.5,94.2536,2.4831,0.3177,8.3582
605.0,96.6671,2.48,0.3276,8.1273
605.5,102.9176,2.48,0.3329,7.9028
606.0,106.057,2.4804,0.3422,7.7872
606.5,105.4411,2.4799,0.3562,7.4721
607.0,104.5403,2.4799,0.3598,7.469
607.5,103.3064,2.4783,0.3501,7.4659
608.0,102.0725,2.4842,0.339,7.4628
608.5,100.2134,2.4965,0.3313,7.7746
609.0,97.5123,2.498,0.3226,8.3271
609.5,93.0121,2.5002,0.3093,8.7966
610.0,85.6098,2.5115,0.2973,9.8202
610.5,83.7043,2.5358,0.2948,9.3975
611.0,87.3448,2.5388,0.2972,8.2791
611.5,97.0865,2.5251,0.2988,7.8638
612.0,105.6087,2.4956,0.3009,7.9021
612.5,106.8314,2.4675,0.3077,8.1327
613.0,104.75,2.4742,0.3187,8.3001
613.5,101.1688,2.4827,0.3319,8.5285
614.0,100.6707,2.4841,0.3384,8.4082
614.5,100.6555,2.4704,0.3429,8.2897
615.0,100.6402,2.4643,0.349,8.054
615.5,100.6227,2.4597,0.3551,7.9468
616.0,99.3888,2.4763,0.3624,7.9435
616.5,95.1061,2.4793,0.3617,8.0512
617.0,96.9874,2.4748,0.3494,8.1591
617.5,99.3456,2.4744,0.3377,8.2692
618.0,94.061,2.4732,0.3285,8.3802
618.5,87.3831,2.4902,0.3244,8.6115
619.0,84.9757,2.5006,0.3255,8.7279
619.5,88.915,2.5004,0.3273,8.7243
620.0,93.1689,2.47,0.3279,8.5558
620.5,97.4228,2.4639,0.3279,8.2486
621.0,100.4572,2.4624,0.3274,8.1322
621.5,99.7702,2.465,0.3272,8.0693
622.0,98.4634,2.4797,0.3269,8.1254
622.5,97.1565,2.485,0.3263,8.2346
623.0,95.8496,2.4754,0.3474,8.3458
623.5,94.5427,2.4698,0.3542,8.5724
624.0,94.2661,2.4682,0.3427,8.6997
624.5,95.4712,2.4666,0.3215,8.9455
625.0,96.6763,2.465,0.3115,9.1639
625.5,98.5203,2.4634,0.3161,9.1744
626.0,99.0866,2.4619,0.3199,9.1706
626.5,98.2866,2.4612,0.3178,9.055
627.0,96.124,2.4654,0.3145,8.8231
627.5,93.8699,2.4694,0.3156,8.7875
628.0,97.1925,2.4728,0.3215,8.6834
628.5,98.3994,2.4773,0.3259,8.6601
629.0,97.1637,2.4844,0.325,8.6792
629.5,95.3201,2.4937,0.3201,8.787
630.0,94.0862,2.5002,0.3147,8.9687
630.5,95.4309,2.4943,0.3219,9.1062
631.0,96.4964,2.481,0.3299,9.1329
631.5,97.0884,2.4768,0.3294,9.1477
632.0,96.4604,2.4743,0.3237,9.1332
632.5,95.2265,2.4727,0.3121,9.1221
633.0,93.3829,2.4722,0.3071,9.1184
633.5,91.5392,2.473,0.3171,9.094
634.0,90.2683,2.4762,0.3264,9.0197
634.5,89.0701,2.4875,0.325,8.9824
635.0,88.4451,2.5005,0.3183,8.9783
635.5,88.683,2.5071,0.3115,8.9744
636.0,89.9594,2.507,0.3116,9.0427
636.5,91.4457,2.5057,0.3229,9.0924
637.0,93.8703,2.5076,0.3275,9.233
637.5,95.6852,2.5086,0.324,9.4936
638.0,96.2805,2.5061,0.3174,9.6941
638.5,95.5793,2.4993,0.3122,9.7453
639.0,94.2723,2.4939,0.3162,9.6592
639.5,92.9655,2.4972,0.3201,9.4652
640.0,92.561,2.5016,0.3197,9.3771
640.5,93.1555,2.498,0.3132,9.5017
641.0,93.75,2.4752,0.302,9.5734
641.5,97.3921,2.4704,0.2953,9.6221
642.0,103.4753,2.4686,0.2915,9.6899
642.5,107.1626,2.4671,0.2941,9.6316
643.0,107.7148,2.4656,0.3001,9.5129
643.5,102.2059,2.4656,0.3043,9.4231
644.0,92.5284,2.4684,0.3048,9.4598
644.5,88.3783,2.4852,0.2847,9.5457
645.0,83.2598,2.498,0.2788,9.5791
645.5,82.5041,2.4918,0.2886,9.7422
646.0,88.109,2.4855,0.2901,9.9719
646.5,92.4076,2.4812,0.2877,10.0722
647.0,96.0894,2.4878,0.2898,10.0679
647.5,97.3658,2.503,0.2939,10.0639
648.0,93.3905,2.5168,0.2969,10.0597
648.5,89.563,2.5197,0.2994,10.0555
649.0,89.0,2.5218,0.3004,10.0509
649.5,91.6596,2.5233,0.3015,10.0653
650.0,92.8659,2.5248,0.3064,10.1993
650.5,91.0211,2.5257,0.308,10.3345
651.0,87.8558,2.5243,0.3061,10.4624
651.5,84.7703,2.5198,0.2996,10.4948
652.0,85.0732,2.5108,0.2917,10.597
652.5,87.4939,2.5027,0.2824,10.5873
653.0,90.7438,2.5027,0.2829,10.438
653.5,93.9763,2.5051,0.2908,10.1534
654.0,93.3522,2.5004,0.3045,9.8729
654.5,92.728,2.4939,0.3309,9.6002
655.0,92.6951,2.4911,0.3361,9.4631
655.5,92.6992,2.4916,0.3323,9.1872
656.0,92.8456,2.4945,0.3247,9.0732
656.5,94.1219,2.4982,0.32,9.0695
657.0,96.3151,2.5056,0.3181,9.0657
657.5,101.7808,2.5189,0.3138,8.9369
658.0,105.425,2.5282,0.3079,8.5709
658.5,104.191,2.526,0.3046,8.3342
659.0,98.6889,2.5227,0.305,8.3129
659.5,99.3416,2.5168,0.3053,8.6879
660.0,100.6179,2.5086,0.3044,9.0617
660.5,102.0966,2.5013,0.3005,9.2931
661.0,103.7805,2.5008,0.2986,8.9895
661.5,106.0133,2.5001,0.3012,8.6695
662.0,107.7416,2.4932,0.3043,8.4253
662.5,108.9468,2.4884,0.2996,8.3065
663.0,105.8836,2.4783,0.2968,8.1893
663.5,99.7206,2.4561,0.2976,8.0739
664.0,97.2195,2.4499,0.299,7.9599
664.5,96.0843,2.458,0.3004,7.7222
665.0,101.9127,2.4627,0.3213,7.4686
665.5,103.0549,2.463,0.34,7.0802
666.0,99.0827,2.4642,0.3503,6.7795
666.5,98.4586,2.4641,0.3475,6.6954
667.0,99.6637,2.466,0.3426,7.1094
667.5,101.4786,2.4772,0.337,7.4072
668.0,102.6837,2.4974,0.3317,7.6116
668.5,100.564,2.5109,0.3279,7.9384
669.0,98.5751,2.5055,0.3312,8.1493
669.5,97.4777,2.4912,0.3345,8.1121
670.0,97.1311,2.4847,0.3335,8.0306
670.5,98.946,2.4953,0.3262,8.0861
671.0,100.7609,2.5103,0.3121,8.2481
671.5,103.1855,2.5154,0.3049,8.3595
672.0,103.1383,2.5115,0.3043,8.3562
672.5,100.4024,2.506,0.3072,8.5868
673.0,95.7259,2.5024,0.3095,8.8238
673.5,89.934,2.5056,0.3102,8.8453
674.0,85.7155,2.5288,0.3097,8.9787
674.5,86.6285,2.5468,0.3025,9.0595
675.0,90.2727,2.5463,0.2929,9.0557
675.5,93.3071,2.5299,0.29,9.0513
676.0,95.7317,2.5245,0.2911,9.0478
676.5,97.0081,2.5237,0.2962,9.1702
677.0,98.8943,2.5105,0.2978,9.2939
677.5,100.7804,2.5053,0.2901,9.2875
678.0,102.0569,2.5176,0.2878,9.2811
678.5,102.3628,2.53,0.3006,9.2746
679.0,99.2967,2.53,0.3143,9.2674
679.5,91.3555,2.5248,0.3184,9.5207
680.0,91.3088,2.5153,0.3143,9.781
680.5,93.9236,2.5041,0.3126,9.9103
681.0,98.3537,2.499,0.3146,9.5952
681.5,102.8135,2.5004,0.3186,9.1738
682.0,104.0935,2.5019,0.3166,8.8554
682.5,104.7846,2.4983,0.307,8.7944
683.0,103.9237,2.4867,0.3015,8.789
683.5,101.4615,2.4941,0.3005,8.7149
684.0,99.609,2.5046,0.303,8.8312
684.5,96.4959,2.5094,0.3145,8.9512
685.0,96.5935,2.5063,0.3243,9.2016
685.5,98.6018,2.5063,0.3237,9.5861
686.0,99.5161,2.5093,0.3139,9.6826
686.5,97.7398,2.5123,0.3095,9.2528
687.0,95.7641,2.5045,0.3124,8.9831
687.5,94.5567,2.4831,0.3128,8.788
688.0,93.9237,2.4845,0.3117,8.7727
688.5,95.12,2.49,0.3123,8.6545
689.0,96.9261,2.4903,0.3164,8.6488
689.5,99.4228,2.4886,0.3209,8.643
690.0,104.2764,2.4849,0.3203,8.6373
690.5,103.7437,2.4818,0.3218,8.6313
691.0,100.6911,2.4772,0.3252,8.6253
691.5,100.1179,2.4666,0.334,8.6193
692.0,102.3091,2.459,0.3371,8.6133
692.5,104.0732,2.469,0.3324,8.6071
693.0,105.8749,2.4814,0.3258,8.6002
693.5,107.0712,2.4939,0.3208,8.5945
694.0,106.4382,2.4932,0.3249,8.568
694.5,103.935,2.4834,0.3253,8.4654
695.0,100.0488,2.4634,0.3247,8.4374
695.5,97.2222,2.4649,0.3227,8.3149
696.0,101.8699,2.4785,0.3202,8.2179
696.5,102.8214,2.4906,0.316,8.2122
697.0,99.5446,2.5015,0.3069,8.2064
697.5,96.5079,2.5073,0.2983,8.2273
698.0,94.0457,2.4966,0.2913,8.3361
698.5,92.8029,2.5008,0.2949,8.4474
699.0,91.5602,2.5027,0.2992,8.5293
699.5,90.9272,2.4935,0.3034,8.5555
700.0,92.2032,2.4905,0.3065,8.6734
700.5,94.0692,2.495,0.313,8.8301
701.0,95.935,2.501,0.3147,8.9895
701.5,97.4551,2.5056,0.3059,9.021
702.0,99.3823,2.5086,0.297,9.1212
702.5,101.7518,2.5067,0.3013,9.0964
703.0,103.561,2.5005,0.3126,8.9631
703.5,99.8761,2.494,0.3107,8.9158
704.0,98.0236,2.5018,0.3037,8.8284
704.5,99.8699,2.5145,0.3016,8.7798
705.0,103.5447,2.51,0.3026,8.6956
705.5,105.4107,2.5008,0.3035,8.6896
706.0,106.8699,2.4781,0.3034,8.6835
706.5,107.6585,2.4704,0.3063,8.7241
707.0,106.3738,2.4724,0.3071,8.8178
707.5,104.5567,2.4757,0.3053,8.8742
708.0,103.314,2.48,0.3028,8.9016
708.5,104.5103,2.4854,0.3005,8.9472
709.0,106.3163,2.4894,0.3023,9.1212
709.5,106.9228,2.4961,0.3059,9.3153
710.0,107.4893,2.4946,0.3048,9.4479
710.5,108.2155,2.487,0.303,9.5905
711.0,110.6911,2.4839,0.3024,9.7106
711.5,107.5775,2.4886,0.303,9.822
712.0,104.2599,2.4932,0.3043,9.8864
712.5,105.5323,2.496,0.3073,9.879
713.0,107.9481,2.4926,0.3127,9.8717
713.5,109.7542,2.4853,0.3094,9.8652
714.0,110.3415,2.4929,0.2995,9.7894
714.5,105.3781,2.4989,0.2892,9.6434
715.0,101.5935,2.505,0.2903,9.4928
715.5,97.6461,2.5095,0.2976,9.3599
716.0,98.8618,2.5094,0.3045,9.2778
