DEPT,GR,RHOB,NPHI,RD
473.0,64.498,2.3045,0.3269,1065.4399
473.5,62.982,2.3117,0.3142,1214.9583
474.0,62.042,2.3089,0.308,1292.7595
474.5,62.181,2.3015,0.3147,817.9803
475.0,64.766,2.2935,0.3261,417.2099
475.5,67.343,2.2839,0.3371,109.3894
476.0,68.948,2.2852,0.337,17.0806
476.5,67.857,2.2949,0.3224,15.5857
477.0,66.952,2.3067,0.3079,17.0963
477.5,66.117,2.309,0.3052,23.4461
478.0,67.268,2.3114,0.3109,31.0901
478.5,68.392,2.3169,0.3179,38.4018
479.0,69.218,2.318,0.3238,37.3583
479.5,69.169,2.3083,0.3243,23.6879
480.0,69.238,2.3028,0.3185,15.5061
480.5,69.194,2.2963,0.3105,14.3132
481.0,70.556,2.3137,0.3037,14.501
481.5,72.806,2.3375,0.3004,14.775
482.0,73.858,2.3469,0.2983,15.0493
482.5,72.04,2.3496,0.2948,15.324
483.0,69.78,2.3468,0.2924,15.598
483.5,67.344,2.3436,0.292,15.833
484.0,65.926,2.3381,0.2948,15.9567
484.5,66.306,2.3329,0.3009,16.0057
485.0,66.496,2.3377,0.3046,16.0543
485.5,66.571,2.3487,0.3028,16.1027
486.0,68.004,2.3599,0.2999,16.1517
486.5,71.939,2.3734,0.2945,16.1924
487.0,74.332,2.3752,0.2916,16.1761
487.5,74.362,2.3742,0.2942,16.0869
488.0,74.686,2.3643,0.2999,16.0009
488.5,72.164,2.3531,0.3047,15.9149
489.0,72.365,2.3486,0.2988,15.8289
489.5,73.115,2.3415,0.2958,15.7429
490.0,72.263,2.3335,0.2908,15.6566
490.5,71.635,2.3296,0.2861,15.5699
491.0,70.851,2.3444,0.2881,15.4839
491.5,70.812,2.3594,0.289,15.3983
492.0,70.521,2.3685,0.2857,15.3447
492.5,69.736,2.3586,0.278,15.3453
493.0,68.968,2.3487,0.2751,15.3444
493.5,68.748,2.3429,0.2771,15.345
494.0,70.251,2.3379,0.2797,15.345
494.5,71.713,2.3451,0.281,15.3454
495.0,73.231,2.3551,0.281,15.3456
495.5,74.783,2.3659,0.281,15.3443
496.0,76.168,2.3761,0.2843,15.3434
496.5,77.954,2.3829,0.2898,15.344
497.0,77.356,2.3848,0.2942,15.4556
497.5,76.932,2.3899,0.2954,15.7675
498.0,75.695,2.3983,0.2917,16.0841
498.5,74.601,2.4073,0.2801,16.4005
499.0,73.408,2.439,0.2641,16.7175
499.5,72.162,2.472,0.2475,17.0341
500.0,71.675,2.4902,0.23,17.4253
500.5,72.028,2.4703,0.2281,17.7026
501.0,72.31,2.4447,0.2402,17.4345
501.5,72.421,2.4205,0.2527,16.9735
502.0,72.675,2.4055,0.2664,16.5125
502.5,73.051,2.4095,0.2719,16.0515
503.0,73.274,2.4151,0.2699,15.5905
503.5,73.89,2.4176,0.2729,15.1295
504.0,74.706,2.4083,0.2805,14.6685
504.5,73.6,2.3987,0.2879,14.2075
505.0,71.331,2.3881,0.2888,13.7645
505.5,69.392,2.3787,0.2848,13.502
506.0,67.81,2.3689,0.2808,13.502
506.5,69.959,2.3767,0.2801,13.502
507.0,71.254,2.392,0.2816,13.502
507.5,72.277,2.4072,0.2831,13.502
508.0,70.561,2.4189,0.284,13.502
508.5,69.907,2.4169,0.2823,13.502
509.0,70.928,2.4095,0.2793,13.502
509.5,73.202,2.3991,0.2763,13.476
510.0,74.049,2.3962,0.2733,13.4062
510.5,73.895,2.4009,0.2703,13.3402
511.0,72.441,2.4052,0.2696,13.2738
511.5,70.669,2.4003,0.2694,13.2072
512.0,70.325,2.3966,0.2668,13.1408
512.5,71.308,2.3984,0.2661,13.0742
513.0,71.468,2.4039,0.2687,13.0078
513.5,71.058,2.4091,0.2711,12.9412
514.0,70.735,2.4141,0.2681,12.8752
514.5,71.946,2.4191,0.2639,12.8081
515.0,75.119,2.4249,0.2652,12.7365
515.5,78.479,2.4309,0.2687,12.6602
516.0,78.74,2.4409,0.2683,12.5835
516.5,76.906,2.4511,0.2648,12.5075
517.0,74.952,2.4587,0.2624,12.4315
517.5,75.897,2.4503,0.2653,12.3613
518.0,77.143,2.4318,0.2713,12.3432
518.5,78.586,2.4126,0.2773,12.4043
519.0,75.843,2.3944,0.2828,12.4743
519.5,72.783,2.3902,0.2833,12.5443
520.0,71.992,2.4014,0.2798,12.6143
520.5,73.207,2.4162,0.2752,12.6843
