DEPT,GR,RHOB,NPHI,RD
395.0,84.8677,2.1629,0.3913,2.0605
395.5,84.6588,2.0947,0.3967,3.7923
396.0,84.6734,1.9724,0.4021,5.0409
396.5,84.9116,1.9597,0.4074,5.8351
397.0,85.1498,1.9463,0.4121,6.2598
397.5,85.1644,1.9344,0.4161,6.5321
398.0,85.179,1.9195,0.4189,6.942
398.5,85.1936,1.9128,0.4211,8.2625
399.0,84.4946,1.9107,0.4222,9.592
399.5,82.9247,1.9115,0.4233,10.1424
400.0,81.5127,1.9139,0.4232,10.0432
400.5,79.3064,1.9192,0.4203,9.789
401.0,77.7732,1.9268,0.4171,9.3657
401.5,76.6207,1.9382,0.4138,8.8932
402.0,75.3974,1.9488,0.4101,8.3603
402.5,74.9932,1.9587,0.4066,7.7858
403.0,74.8185,1.9715,0.4031,7.2065
403.5,74.8814,1.9836,0.4,6.6825
404.0,75.0745,2.0224,0.3979,6.1287
404.5,75.0894,2.0994,0.397,5.4826
405.0,75.1043,2.1303,0.3969,4.8659
405.5,75.2447,2.1867,0.3972,4.192
406.0,75.8495,2.2183,0.3978,3.642
406.5,76.9188,2.1929,0.3989,3.2159
407.0,78.301,2.1675,0.4006,2.769
407.5,79.6833,2.1248,0.4026,2.5001
408.0,81.1501,2.0701,0.4045,2.3201
408.5,82.7602,2.0762,0.406,2.1842
409.0,84.2772,2.1686,0.4071,2.1276
409.5,85.4645,2.2333,0.4065,2.0996
410.0,86.1873,2.2507,0.4057,2.0784
410.5,86.658,2.238,0.4049,2.2048
411.0,86.7971,2.1908,0.4051,2.4603
411.5,86.4692,2.1669,0.4079,2.7364
412.0,86.1475,2.1204,0.4105,3.037
412.5,86.0581,2.0837,0.41,3.4631
413.0,86.3289,2.0223,0.4085,3.9488
413.5,86.535,2.0029,0.4076,4.3517
414.0,86.5499,1.9992,0.4083,4.7016
414.5,86.4239,2.0068,0.4093,5.0585
415.0,86.2109,2.0024,0.4106,5.3974
415.5,86.2972,2.0062,0.4117,5.6278
416.0,86.386,2.0581,0.4126,5.7457
416.5,86.2426,2.071,0.4139,5.7799
417.0,85.8669,2.0726,0.4155,5.7536
417.5,85.426,2.0825,0.4178,5.6255
418.0,84.9851,2.1318,0.4199,5.4028
418.5,84.8957,2.3588,0.4219,5.1546
419.0,84.9134,2.4123,0.425,4.9488
419.5,85.3751,2.4049,0.43,4.723
420.0,86.0604,2.3885,0.4361,4.5688
420.5,86.7457,2.3676,0.4416,4.4463
421.0,87.6545,2.3489,0.4449,4.3284
421.5,88.5633,2.3295,0.4464,4.2501
422.0,88.3543,2.2973,0.4469,4.2327
422.5,87.0277,2.2403,0.4469,4.2957
423.0,84.5833,2.2022,0.447,4.427
423.5,83.0331,2.1603,0.448,4.5687
424.0,81.93,2.0951,0.4495,4.8288
424.5,81.4792,2.0674,0.4503,5.2295
425.0,81.0284,2.0622,0.4492,5.3712
425.5,80.5776,2.1464,0.447,5.5849
426.0,80.1997,2.2366,0.4444,5.8214
426.5,80.0745,2.2435,0.4421,6.0233
427.0,80.1058,2.1911,0.44,6.1853
427.5,80.1371,2.1507,0.4381,6.2883
428.0,80.0715,2.0764,0.4363,6.3367
428.5,79.9762,2.0345,0.4341,6.3238
429.0,80.0075,2.0308,0.4311,6.2414
429.5,80.0387,2.04,0.4278,6.16
430.0,79.9434,2.0446,0.425,6.0798
430.5,79.7437,2.1424,0.4231,5.9987
431.0,79.4024,2.4089,0.4214,5.8939
431.5,78.9717,2.4504,0.4202,5.7736
432.0,78.6975,2.464,0.4198,5.6322
432.5,78.1699,2.4626,0.4197,5.5037
433.0,77.5082,2.4567,0.4204,5.3384
433.5,76.7184,2.447,0.4213,5.178
434.0,76.7487,2.4367,0.4227,4.9438
434.5,79.0145,2.433,0.4236,4.7102
435.0,80.8331,2.4324,0.4249,4.4307
435.5,82.2047,2.4362,0.425,4.1702
436.0,83.7998,2.4446,0.4221,3.9569
436.5,84.9478,2.4485,0.4199,3.8578
437.0,85.2017,2.4456,0.4199,4.1098
437.5,84.9955,2.4442,0.4209,4.5856
438.0,84.7511,2.4473,0.4224,4.9135
438.5,84.149,2.4557,0.4238,5.1641
439.0,83.9493,2.4648,0.4252,5.3869
439.5,83.7883,2.4754,0.4265,5.5701
440.0,83.8256,2.474,0.4276,5.7062
440.5,83.9762,2.4614,0.4286,5.8387
441.0,84.3353,2.4465,0.4302,5.8746
441.5,84.5156,2.4398,0.4323,5.8996
442.0,85.0089,2.4407,0.4353,5.9861
442.5,85.4128,2.4423,0.4383,6.1609
443.0,85.772,2.4417,0.4407,6.3884
443.5,86.2493,2.4373,0.442,6.578
444.0,86.6366,2.4321,0.4427,6.6721
444.5,87.0283,2.4248,0.4431,6.6508
445.0,87.2683,2.4151,0.4428,6.5615
445.5,87.2996,2.4024,0.4426,6.4515
446.0,86.9061,2.3665,0.4426,6.3531
446.5,86.2444,2.3426,0.4428,6.2964
447.0,85.5827,2.3187,0.4444,6.2319
447.5,84.921,2.2955,0.4464,6.1819
448.0,84.9449,2.2491,0.4488,6.145
448.5,86.1521,2.2057,0.4517,6.1161
449.0,88.1943,2.199,0.4536,6.1452
449.5,88.8952,2.1999,0.4529,6.1613
450.0,86.9136,2.2083,0.4488,6.1785
450.5,83.8142,2.321,0.444,6.2717
451.0,81.3855,2.3181,0.4393,6.3558
451.5,80.0745,2.3002,0.435,6.3631
452.0,78.9657,2.283,0.431,6.3592
452.5,78.3189,2.2591,0.4273,6.2655
453.0,77.8882,2.2435,0.4237,6.1097
453.5,77.5131,2.2286,0.4196,6.0128
454.0,77.6229,2.2347,0.4137,5.8411
454.5,78.2057,2.2926,0.408,5.6428
455.0,79.161,2.3513,0.4044,5.4522
455.5,80.1162,2.4107,0.4046,5.2785
456.0,81.0715,2.4319,0.4073,5.1358
456.5,81.9523,2.4327,0.4106,4.9969
457.0,82.5946,2.4291,0.413,4.8618
457.5,82.9091,2.4262,0.4139,4.7304
458.0,82.2623,2.421,0.413,4.6042
458.5,80.9895,2.4091,0.411,4.4967
459.0,80.544,2.3912,0.409,4.4223
459.5,81.0521,2.3741,0.4069,4.3647
460.0,82.2608,2.3592,0.4048,4.3123
460.5,83.544,2.3173,0.4032,4.292
461.0,84.7302,2.2926,0.402,4.3128
461.5,85.4695,2.2649,0.4012,4.4372
462.0,85.9627,2.244,0.4008,4.6177
462.5,86.1282,2.2516,0.4007,4.8156
463.0,86.1595,2.2915,0.4011,5.0285
463.5,86.1968,2.3247,0.4027,5.2265
464.0,86.2271,2.3323,0.4051,5.4174
464.5,86.2574,2.3294,0.4069,5.5701
465.0,85.8406,2.3408,0.4076,5.6424
465.5,85.8709,2.419,0.4077,5.6311
466.0,85.007,2.4596,0.4069,5.4988
466.5,84.3666,2.4665,0.4061,5.2288
467.0,83.4738,2.4734,0.4075,4.8997
467.5,82.5962,2.4825,0.41,4.6727
468.0,81.9985,2.4856,0.4132,4.4677
468.5,82.0924,2.4842,0.4168,4.3486
469.0,82.6602,2.4806,0.4197,4.2697
469.5,83.6156,2.4694,0.4216,4.3428
470.0,84.5708,2.4478,0.4236,4.4291
470.5,85.4665,2.4411,0.4262,4.563
471.0,86.0566,2.4427,0.4288,4.7024
471.5,86.2444,2.4473,0.4315,4.8577
472.0,86.1118,2.4527,0.434,5.0384
472.5,85.6811,2.4506,0.4365,5.2139
473.0,85.3473,2.4462,0.4386,5.3918
473.5,85.3562,2.4365,0.4383,5.6116
474.0,85.839,2.4149,0.4358,5.8447
474.5,86.5571,2.3857,0.4331,6.0642
475.0,87.2751,2.361,0.4307,6.2756
475.5,87.9932,2.3453,0.4288,6.4413
476.0,88.4911,2.3079,0.4272,6.5281
476.5,88.1614,2.278,0.4265,6.5686
477.0,87.4963,2.2451,0.4267,6.5663
477.5,86.6636,2.2354,0.4286,6.5241
478.0,85.4396,2.228,0.4326,6.5019
478.5,83.7685,2.2183,0.4359,6.4937
479.0,81.5945,2.2057,0.4391,6.4766
479.5,79.5417,2.1945,0.4424,6.4884
480.0,77.7122,2.1714,0.4451,6.5203
480.5,76.3021,2.1317,0.4479,6.5718
481.0,75.3204,2.0995,0.4508,6.6057
481.5,74.5809,2.0628,0.4522,6.642
482.0,74.0835,2.0442,0.4502,6.6935
