DEPT,GR,RHOB,NPHI,RD
411.0,94.007,2.2421,0.4708,310.513
411.5,95.009,2.2631,0.4757,726.138
412.0,96.101,2.2757,0.451,975.639
412.5,95.683,2.2726,0.4282,975.639
413.0,93.025,2.2764,0.4085,975.639
413.5,91.499,2.301,0.4145,225.193
414.0,92.93,2.3824,0.4214,6.307
414.5,94.363,2.4411,0.4272,4.543
415.0,92.829,2.4873,0.4299,4.849
415.5,90.189,2.4949,0.4293,5.294
416.0,89.856,2.4763,0.4356,5.61
416.5,90.998,2.4564,0.4497,5.682
417.0,89.458,2.4466,0.4659,5.361
417.5,87.868,2.4473,0.4618,5.093
418.0,85.976,2.4526,0.454,4.826
418.5,85.911,2.4433,0.454,4.543
419.0,88.367,2.4101,0.4558,4.631
419.5,90.39,2.3196,0.4339,4.791
420.0,90.2,2.1937,0.415,4.951
420.5,87.296,2.0525,0.3961,5.111
421.0,83.885,2.0297,0.3741,5.271
421.5,85.103,2.1612,0.3879,5.465
422.0,88.125,2.3059,0.4038,5.446
422.5,91.199,2.4301,0.4256,5.409
423.0,93.573,2.4887,0.4123,5.373
423.5,94.934,2.4972,0.3944,5.397
424.0,96.067,2.4901,0.3755,5.421
424.5,97.288,2.4819,0.3566,5.444
425.0,97.596,2.4815,0.3386,5.468
425.5,97.228,2.4835,0.3197,5.489
426.0,96.913,2.4809,0.3334,5.529
426.5,96.723,2.4723,0.357,5.57
427.0,95.612,2.4608,0.3809,5.611
427.5,93.869,2.4511,0.3963,5.651
428.0,92.251,2.4459,0.3866,5.692
428.5,90.552,2.4427,0.3766,5.732
429.0,89.979,2.4343,0.3657,5.789
429.5,90.2,2.4236,0.3556,5.735
430.0,90.371,2.4187,0.3466,5.648
430.5,90.617,2.4195,0.3553,5.561
431.0,91.603,2.4215,0.3745,5.474
431.5,93.807,2.4304,0.4028,5.387
432.0,98.06,2.4414,0.4004,5.3
432.5,100.051,2.4471,0.3917,5.212
433.0,99.309,2.4488,0.3828,5.08
433.5,98.725,2.4544,0.3711,5.091
434.0,97.969,2.4591,0.3736,5.112
434.5,93.48,2.4539,0.3785,5.133
435.0,90.656,2.4459,0.3862,5.155
435.5,90.602,2.4409,0.378,5.176
436.0,90.539,2.4415,0.3591,5.197
436.5,94.178,2.4389,0.341,5.219
437.0,96.173,2.4319,0.3408,5.24
437.5,96.298,2.4262,0.3419,5.261
438.0,96.572,2.4235,0.3385,5.283
438.5,96.808,2.4284,0.3292,5.304
439.0,97.044,2.4392,0.3324,5.325
439.5,96.442,2.4504,0.3434,5.347
440.0,94.686,2.4645,0.3441,5.368
440.5,92.541,2.468,0.3423,5.389
441.0,90.258,2.468,0.3411,5.411
441.5,90.503,2.4642,0.3521,5.432
442.0,89.975,2.4576,0.3788,5.453
442.5,89.824,2.3984,0.3762,5.475
443.0,89.307,2.3211,0.3564,5.496
443.5,89.941,2.28,0.3268,5.517
444.0,90.21,2.3298,0.3287,5.539
444.5,93.86,2.4199,0.3417,5.571
445.0,97.121,2.4719,0.3565,5.552
445.5,99.073,2.481,0.3582,5.442
446.0,98.845,2.4795,0.3547,5.332
446.5,97.734,2.4721,0.3515,5.222
447.0,96.152,2.4616,0.351,5.112
447.5,95.345,2.4506,0.3575,5.002
448.0,95.908,2.4434,0.3647,4.894
448.5,95.255,2.4397,0.3692,4.888
449.0,94.447,2.4451,0.3692,4.879
449.5,93.663,2.4531,0.3537,4.87
450.0,92.696,2.4657,0.3388,4.86
450.5,92.706,2.4713,0.3344,4.851
451.0,93.772,2.4697,0.3443,4.842
451.5,97.001,2.4659,0.3565,4.832
452.0,99.597,2.4619,0.3645,4.823
452.5,102.363,2.4503,0.366,4.814
453.0,102.148,2.4363,0.3668,4.804
453.5,101.869,2.4276,0.3686,4.88
454.0,100.471,2.4314,0.3705,4.961
454.5,99.125,2.4576,0.3687,5.042
455.0,97.703,2.4926,0.3496,5.122
455.5,96.302,2.4972,0.3455,5.203
456.0,94.961,2.4791,0.3506,5.273
456.5,93.484,2.4563,0.3565,5.346
457.0,94.945,2.4433,0.3633,5.411
457.5,97.684,2.4556,0.3627,5.475
458.0,100.575,2.473,0.359,5.577
458.5,101.19,2.4916,0.3513,5.539
459.0,98.722,2.4983,0.3409,5.468
459.5,96.701,2.4936,0.3291,5.447
460.0,94.341,2.4836,0.3194,5.426
460.5,94.517,2.4795,0.3126,5.404
461.0,95.2,2.4782,0.3066,5.383
461.5,96.117,2.478,0.3115,5.373
462.0,96.905,2.4772,0.3205,5.224
462.5,97.814,2.4785,0.3302,5.089
463.0,98.146,2.4821,0.3394,4.955
463.5,97.159,2.4868,0.3399,4.894
464.0,95.604,2.4811,0.3362,4.894
464.5,92.941,2.4683,0.3385,4.894
465.0,90.313,2.4543,0.3449,5.108
465.5,88.275,2.4472,0.3449,5.29
466.0,89.189,2.4537,0.3419,5.472
466.5,89.915,2.4652,0.3369,5.653
467.0,90.877,2.4772,0.3267,5.835
467.5,90.705,2.4869,0.2929,6.016
468.0,89.715,2.4928,0.2756,6.198
468.5,88.951,2.4917,0.2781,6.38
469.0,88.32,2.4826,0.2861,6.474
469.5,90.157,2.4716,0.2944,6.296
470.0,92.589,2.4682,0.2957,6.132
470.5,95.846,2.4787,0.2937,5.968
471.0,99.006,2.4935,0.295,5.804
471.5,102.12,2.5031,0.2973,5.64
472.0,104.893,2.495,0.298,5.476
472.5,102.972,2.472,0.2973,5.332
473.0,99.34,2.4668,0.2964,5.221
473.5,95.768,2.4747,0.2966,5.11
474.0,92.987,2.4854,0.3028,4.999
474.5,92.583,2.4811,0.3117,4.888
475.0,92.249,2.466,0.3163,4.777
475.5,91.982,2.4505,0.3183,4.715
476.0,91.637,2.4447,0.3196,4.777
476.5,92.766,2.4448,0.3194,4.871
477.0,95.382,2.4511,0.3171,4.966
477.5,97.677,2.4584,0.3154,5.061
478.0,98.91,2.4638,0.3199,5.156
478.5,100.074,2.4673,0.3248,5.25
479.0,101.177,2.4695,0.3217,5.345
479.5,102.345,2.4715,0.3148,5.44
480.0,103.452,2.4743,0.3042,5.535
480.5,104.534,2.4796,0.2996,5.586
481.0,104.454,2.4856,0.3036,5.603
481.5,101.386,2.4916,0.3131,5.619
482.0,96.498,2.4961,0.3227,5.636
482.5,94.254,2.497,0.3289,5.653
483.0,94.657,2.4962,0.3357,5.67
483.5,96.397,2.4814,0.3425,5.687
484.0,96.562,2.467,0.341,5.703
484.5,96.714,2.4632,0.3317,5.72
485.0,96.795,2.4691,0.3213,5.737
485.5,96.874,2.4825,0.3114,5.754
486.0,97.011,2.4937,0.3042,5.77
486.5,97.171,2.4998,0.3014,5.789
487.0,97.348,2.5056,0.2999,5.648
487.5,99.693,2.5116,0.2973,5.493
488.0,101.683,2.5153,0.2965,5.338
488.5,102.047,2.5106,0.2975,5.176
489.0,102.499,2.4921,0.298,5.15
489.5,101.828,2.4709,0.2975,5.123
490.0,99.619,2.456,0.2986,5.096
490.5,97.6,2.4576,0.3032,5.08
491.0,96.157,2.4659,0.3092,5.084
491.5,98.536,2.4757,0.3136,5.101
492.0,99.928,2.4788,0.314,5.119
492.5,99.583,2.4752,0.312,5.136
493.0,99.071,2.4709,0.31,5.153
493.5,99.517,2.4669,0.308,5.17
494.0,101.424,2.4675,0.305,5.187
494.5,102.884,2.4726,0.301,5.204
495.0,101.494,2.4771,0.2985,5.222
495.5,99.272,2.4719,0.2995,5.239
496.0,96.148,2.4616,0.303,5.256
496.5,93.681,2.459,0.3065,5.273
497.0,94.394,2.469,0.3046,5.29
497.5,95.603,2.4789,0.302,5.307
498.0,97.597,2.4795,0.3054,5.325
498.5,96.879,2.4813,0.3099,5.342
499.0,96.898,2.4858,0.3053,5.359
499.5,98.092,2.4893,0.2886,5.38
500.0,99.232,2.4846,0.2794,5.413
500.5,99.918,2.4807,0.2829,5.446
501.0,99.142,2.4823,0.2859,5.478
501.5,99.016,2.4845,0.2875,5.511
502.0,99.255,2.4873,0.2894,5.544
502.5,99.504,2.4895,0.2951,5.577
503.0,99.431,2.4915,0.3036,5.61
503.5,100.198,2.4943,0.3129,5.643
504.0,101.402,2.5004,0.3212,5.676
504.5,102.594,2.5081,0.3218,5.709
505.0,103.14,2.5154,0.3173,5.741
505.5,103.02,2.517,0.3133,5.774
506.0,103.771,2.5162,0.3093,5.806
506.5,105.196,2.5106,0.3049,5.837
507.0,106.575,2.5029,0.2999,5.867
507.5,107.922,2.4987,0.2932,5.898
508.0,108.334,2.4965,0.2888,5.929
508.5,106.089,2.4952,0.2908,5.959
509.0,104.235,2.4935,0.2924,5.99
509.5,102.263,2.4869,0.2926,6.057
510.0,100.383,2.485,0.2916,6.18
510.5,98.259,2.4919,0.2906,6.302
511.0,98.803,2.5009,0.29,6.424
511.5,100.846,2.5068,0.2904,6.547
512.0,103.003,2.5095,0.2887,6.638
512.5,102.415,2.5108,0.2808,6.708
513.0,100.813,2.5102,0.269,6.778
513.5,100.223,2.5092,0.2618,6.848
514.0,100.8,2.5121,0.2649,6.918
514.5,101.213,2.5153,0.2695,6.988
515.0,101.714,2.5168,0.2727,7.058
515.5,101.609,2.5124,0.2714,7.128
516.0,100.888,2.5072,0.2645,7.24
516.5,100.244,2.5114,0.2564,7.106
517.0,99.592,2.5184,0.2511,7.06
517.5,98.938,2.5154,0.2562,7.014
518.0,98.269,2.4956,0.2651,6.968
518.5,97.626,2.4793,0.2734,6.922
519.0,96.988,2.4867,0.2783,6.876
519.5,96.206,2.4977,0.2783,6.83
520.0,96.46,2.5015,0.2763,6.784
520.5,97.855,2.5043,0.274,6.738
521.0,99.524,2.5027,0.2727,6.713
521.5,101.204,2.4966,0.2747,6.703
