DEPT,GR,RHOB,NPHI,RD
481.0,71.7715,2.7301,0.362,0.2108
481.5,79.1146,2.5903,0.3419,0.274
482.0,87.4734,2.4996,0.3446,0.7848
482.5,91.1053,2.4795,0.3596,4.1771
483.0,92.3275,2.4744,0.3661,10.9634
483.5,92.6461,2.4725,0.3656,9.8893
484.0,92.6636,2.4711,0.3664,4.4943
484.5,93.5846,2.4707,0.3655,3.8414
485.0,96.1566,2.4741,0.363,3.965
485.5,100.5516,2.48,0.3573,4.1327
486.0,98.4606,2.4832,0.3474,4.2991
486.5,94.8635,2.484,0.3376,4.4503
487.0,94.5754,2.485,0.3281,4.5978
487.5,97.9104,2.4868,0.3198,4.719
488.0,100.0363,2.4886,0.3108,4.8203
488.5,100.6566,2.4883,0.3164,4.9089
489.0,100.0755,2.4789,0.3434,4.9779
489.5,98.2858,2.4602,0.3622,5.038
490.0,93.7851,2.4529,0.3647,5.064
490.5,91.6941,2.4555,0.3562,5.0748
491.0,91.6627,2.4591,0.3511,5.1417
491.5,92.9338,2.4577,0.35,5.267
492.0,93.8554,2.4573,0.3553,5.3181
492.5,94.7803,2.4678,0.3664,5.3294
493.0,95.0989,2.4894,0.3754,5.4093
493.5,95.4175,2.5082,0.3649,5.5915
494.0,96.0374,2.5202,0.3509,5.7693
494.5,96.9584,2.5261,0.337,6.0008
495.0,97.8836,2.5242,0.3313,6.2984
495.5,99.1988,2.5119,0.3323,6.5874
496.0,102.1356,2.5058,0.3351,6.7427
496.5,104.8638,2.5095,0.3393,6.6615
497.0,107.5921,2.5159,0.3428,6.4589
497.5,108.2119,2.5162,0.3401,6.2098
498.0,106.1209,2.5103,0.3356,6.0107
498.5,102.5121,2.5084,0.3401,5.8993
499.0,99.5337,2.5082,0.3531,5.9491
499.5,97.1415,2.5033,0.3631,6.0135
500.0,95.3473,2.4843,0.3695,5.8124
500.5,101.092,2.462,0.3781,5.649
501.0,105.9287,2.4506,0.395,5.4697
501.5,107.4522,2.432,0.4168,5.0042
502.0,107.4696,2.4195,0.4315,4.5656
502.5,105.6842,2.4281,0.4314,4.4761
503.0,103.5931,2.4569,0.4211,4.6923
503.5,100.2973,2.4757,0.4065,5.1192
504.0,98.8044,2.4668,0.3907,5.7344
504.5,98.5206,2.4575,0.3714,6.304
505.0,96.7352,2.463,0.3601,6.5359
505.5,93.0822,2.4742,0.3565,6.704
506.0,91.6496,2.4825,0.367,6.955
506.5,93.4786,2.4831,0.3734,7.2528
507.0,95.3032,2.4797,0.3679,7.5484
507.5,96.8267,2.477,0.3584,7.8174
508.0,98.9526,2.4748,0.3502,8.0642
508.5,100.476,2.4731,0.3433,8.1577
509.0,102.0723,2.473,0.3388,8.0656
509.5,103.5273,2.4746,0.3355,8.0458
510.0,103.2435,2.4779,0.3326,8.1056
510.5,101.7549,2.4808,0.3324,8.1978
511.0,99.9651,2.4824,0.3405,8.3409
511.5,98.7777,2.4837,0.347,8.4028
512.0,97.5904,2.4809,0.3417,8.4819
512.5,96.403,2.4715,0.331,8.5711
513.0,97.9308,2.4651,0.3178,8.6094
513.5,100.3579,2.4664,0.3055,8.6829
514.0,101.5801,2.4694,0.2994,8.6272
514.5,99.1879,2.475,0.3034,8.6142
515.0,95.5909,2.4814,0.3165,8.6199
515.5,95.9334,2.4836,0.3266,8.4359
516.0,100.4494,2.4814,0.3336,8.4446
516.5,102.8765,2.4808,0.3406,8.5563
517.0,104.3999,2.4825,0.3533,8.4833
517.5,105.0198,2.4809,0.3604,8.3377
518.0,105.0372,2.4779,0.3555,8.0829
518.5,104.4522,2.4815,0.3449,7.7434
519.0,103.5503,2.4876,0.3313,7.4086
519.5,101.7806,2.4931,0.3217,7.2419
520.0,97.5812,2.5007,0.3084,7.308
520.5,91.2733,2.5154,0.2983,7.4424
521.0,86.1702,2.53,0.2942,7.6693
521.5,85.8821,2.5319,0.2953,7.8715
522.0,92.5304,2.5134,0.298,7.912
522.5,99.5964,2.485,0.3012,7.9289
523.0,105.8226,2.4681,0.3071,7.9546
523.5,107.9485,2.4714,0.3135,7.9167
524.0,105.8575,2.48,0.323,7.949
524.5,102.2605,2.4746,0.3345,8.0608
525.0,100.7675,2.4648,0.3429,8.1427
525.5,101.9941,2.4641,0.3505,8.1444
526.0,99.8071,2.472,0.3568,8.1304
526.5,95.4069,2.4803,0.3597,8.0764
527.0,92.7091,2.479,0.3597,8.0073
527.5,97.249,2.4725,0.3523,7.9298
528.0,98.4669,2.473,0.3372,7.9469
528.5,95.1754,2.4791,0.3251,8.0036
529.0,87.0603,2.4866,0.32,8.0604
529.5,84.0657,2.4895,0.3237,8.1492
530.0,87.7019,2.4798,0.3254,8.3206
530.5,92.5386,2.4659,0.3264,8.4791
531.0,97.3754,2.4626,0.3269,8.5819
531.5,100.1036,2.4671,0.3267,8.6603
532.0,100.1606,2.4744,0.3261,8.7302
532.5,98.0222,2.4802,0.3268,8.6721
533.0,95.3367,2.4801,0.3322,8.5656
533.5,99.2741,2.475,0.3445,8.351
534.0,96.2795,2.468,0.3567,8.2451
534.5,94.1885,2.4659,0.3456,8.3198
535.0,93.9004,2.4672,0.3281,8.4366
535.5,96.9342,2.4666,0.308,8.5552
536.0,98.7711,2.4615,0.3096,8.6756
536.5,98.1782,2.4591,0.314,8.7804
537.0,94.8815,2.461,0.3179,8.8087
537.5,93.0976,2.4657,0.3139,8.7498
538.0,94.0246,2.4687,0.3131,8.7252
538.5,95.2641,2.471,0.3179,8.737
539.0,96.9277,2.4769,0.3243,8.6693
539.5,99.2211,2.4861,0.3265,8.7312
540.0,98.9432,2.4935,0.3196,8.8102
540.5,95.9546,2.4955,0.314,8.9166
541.0,95.0685,2.4866,0.3159,8.9626
541.5,96.3025,2.4753,0.3269,8.9644
542.0,97.5307,2.474,0.3314,8.9651
542.5,96.9517,2.4768,0.3258,8.9479
543.0,95.3814,2.4761,0.3111,8.8912
543.5,93.0886,2.4715,0.3034,8.8492
544.0,91.606,2.4709,0.3071,8.8513
544.5,91.0211,2.4743,0.3232,8.8701
545.0,90.7432,2.4808,0.3274,8.9159
545.5,90.4654,2.4904,0.3225,8.9348
546.0,90.7958,2.4988,0.3153,9.0334
546.5,91.4217,2.5025,0.3117,9.2058
547.0,91.7872,2.504,0.3153,9.3351
547.5,93.2815,2.503,0.3242,9.4847
548.0,95.1121,2.5014,0.3251,9.6654
548.5,97.8463,2.5027,0.3198,9.7822
549.0,98.7674,2.5028,0.3129,9.8326
549.5,97.2906,2.4975,0.3105,9.8346
550.0,96.1084,2.4933,0.3162,9.8178
550.5,94.6265,2.497,0.3199,9.7524
551.0,93.7463,2.5007,0.3155,9.6875
551.5,93.4685,2.4969,0.3066,9.679
552.0,93.7989,2.482,0.3005,9.7774
552.5,96.2319,2.4712,0.2961,9.7794
553.0,98.9661,2.468,0.2896,9.7814
553.5,104.4112,2.4661,0.2876,9.7646
554.0,106.8442,2.4659,0.2924,9.681
554.5,106.8725,2.4688,0.2975,9.5328
555.0,102.7509,2.4741,0.2998,9.3581
555.5,89.4503,2.4832,0.2889,9.2673
556.0,84.3532,2.4929,0.2814,9.2874
556.5,81.9669,2.4945,0.2822,9.3921
557.0,83.4963,2.4838,0.2891,9.6311
557.5,88.9414,2.4761,0.2914,9.925
558.0,93.784,2.4811,0.2887,10.114
558.5,96.5182,2.4964,0.29,10.2362
559.0,96.2129,2.508,0.297,10.3089
559.5,94.1612,2.5144,0.2994,10.3621
560.0,91.1725,2.516,0.2999,10.3641
560.5,90.2864,2.5156,0.3012,10.3864
561.0,91.2193,2.5165,0.3071,10.4604
561.5,91.8451,2.5191,0.3103,10.5551
562.0,90.9648,2.521,0.3069,10.6826
562.5,89.7834,2.5167,0.2975,10.7584
563.0,88.8795,2.5063,0.2885,10.8348
563.5,89.5348,2.4994,0.2814,10.8698
564.0,90.763,2.4971,0.2835,10.7975
564.5,93.7984,2.5002,0.2974,10.6649
565.0,95.9302,2.5012,0.3147,10.3587
565.5,96.8572,2.4941,0.3315,9.9549
